                               Resultados computacionais pelo Método DFP
|               Ponto inicial                |# de iterações| # de cham. Armijo |              Ponto ótimo atual            |   Valor ótimo  |   Erro de aproximação |
|  (1.0000, 2.0000, 3.0000, 4.0000, 5.0000)  |      32      |      56           | (-0.2251, -0.2251, 0.4058, -1.4227, 0.9143)  |    -0.9493     |   0.0002              |

                               Resultados computacionais pelo Método DFP
|               Ponto inicial                |# de iterações| # de cham. Armijo |              Ponto ótimo atual            |   Valor ótimo  |   Erro de aproximação |
|  (5.0000, 4.0000, 3.0000, 2.0000, 1.0000)  |       1      |       5           | (4.9227, 3.9389, 2.8693, 1.5615, 0.6922)  |    127.3278     |   138.3316              |
|  (5.0000, 4.0000, 3.0000, 2.0000, 1.0000)  |       2      |       8           | (4.0726, 3.2663, 1.0363, 0.3860, 0.5945)  |    57.3306     |   65.9489              |
|  (5.0000, 4.0000, 3.0000, 2.0000, 1.0000)  |       3      |      10           | (1.5277, 1.2095, 0.9330, 0.1030, 0.3608)  |    9.0005     |   22.1994              |
|  (5.0000, 4.0000, 3.0000, 2.0000, 1.0000)  |       4      |      11           | (-0.2300, -0.4710, 0.5357, -0.1701, 0.3823)  |    0.2645     |   6.6962              |
|  (5.0000, 4.0000, 3.0000, 2.0000, 1.0000)  |       5      |      12           | (-0.1220, -0.1496, 0.2918, -0.3607, 0.3773)  |    -0.2625     |   1.7671              |
|  (5.0000, 4.0000, 3.0000, 2.0000, 1.0000)  |       6      |      13           | (-0.2775, -0.1988, -0.0657, -0.6373, 0.3712)  |    -0.8305     |   1.5312              |
|  (5.0000, 4.0000, 3.0000, 2.0000, 1.0000)  |       7      |      15           | (-0.2857, -0.1954, -0.1492, -0.7208, 0.3536)  |    -0.9054     |   0.8840              |
|  (5.0000, 4.0000, 3.0000, 2.0000, 1.0000)  |       8      |      17           | (-0.2774, -0.1946, -0.1746, -0.7618, 0.3308)  |    -0.9307     |   0.6256              |
|  (5.0000, 4.0000, 3.0000, 2.0000, 1.0000)  |       9      |      19           | (-0.2657, -0.1963, -0.1880, -0.7848, 0.3135)  |    -0.9414     |   0.4234              |
|  (5.0000, 4.0000, 3.0000, 2.0000, 1.0000)  |      10      |      21           | (-0.2551, -0.2001, -0.1956, -0.7972, 0.3037)  |    -0.9455     |   0.2679              |
|  (5.0000, 4.0000, 3.0000, 2.0000, 1.0000)  |      11      |      22           | (-0.2271, -0.2163, -0.2116, -0.8200, 0.2866)  |    -0.9479     |   0.1774              |
|  (5.0000, 4.0000, 3.0000, 2.0000, 1.0000)  |      12      |      24           | (-0.2307, -0.2176, -0.2089, -0.8133, 0.2936)  |    -0.9488     |   0.1522              |
|  (5.0000, 4.0000, 3.0000, 2.0000, 1.0000)  |      13      |      25           | (-0.2319, -0.2232, -0.2068, -0.8055, 0.3020)  |    -0.9491     |   0.0784              |
|  (5.0000, 4.0000, 3.0000, 2.0000, 1.0000)  |      14      |      27           | (-0.2290, -0.2232, -0.2079, -0.8078, 0.2999)  |    -0.9492     |   0.0394              |
|  (5.0000, 4.0000, 3.0000, 2.0000, 1.0000)  |      15      |      29           | (-0.2276, -0.2235, -0.2084, -0.8086, 0.2991)  |    -0.9493     |   0.0185              |
|  (5.0000, 4.0000, 3.0000, 2.0000, 1.0000)  |      16      |      30           | (-0.2257, -0.2249, -0.2093, -0.8094, 0.2986)  |    -0.9493     |   0.0143              |
|  (5.0000, 4.0000, 3.0000, 2.0000, 1.0000)  |      17      |      32           | (-0.2263, -0.2249, -0.2090, -0.8088, 0.2992)  |    -0.9493     |   0.0133              |
|  (5.0000, 4.0000, 3.0000, 2.0000, 1.0000)  |      18      |      33           | (-0.2261, -0.2250, -0.2089, -0.8085, 0.2995)  |    -0.9493     |   0.0082              |
|  (5.0000, 4.0000, 3.0000, 2.0000, 1.0000)  |      19      |      34           | (-0.2251, -0.2251, -0.2090, -0.8087, 0.2993)  |    -0.9493     |   0.0053              |
|  (5.0000, 4.0000, 3.0000, 2.0000, 1.0000)  |      20      |      36           | (-0.2254, -0.2251, -0.2089, -0.8084, 0.2996)  |    -0.9493     |   0.0045              |
|  (5.0000, 4.0000, 3.0000, 2.0000, 1.0000)  |      21      |      37           | (-0.2254, -0.2251, -0.2088, -0.8082, 0.2997)  |    -0.9493     |   0.0021              |
|  (5.0000, 4.0000, 3.0000, 2.0000, 1.0000)  |      22      |      39           | (-0.2253, -0.2251, -0.2088, -0.8083, 0.2997)  |    -0.9493     |   0.0012              |
|  (5.0000, 4.0000, 3.0000, 2.0000, 1.0000)  |      23      |      40           | (-0.2251, -0.2251, -0.2088, -0.8083, 0.2997)  |    -0.9493     |   0.0009              |
|  (5.0000, 4.0000, 3.0000, 2.0000, 1.0000)  |      24      |      42           | (-0.2252, -0.2251, -0.2088, -0.8082, 0.2997)  |    -0.9493     |   0.0007              |
|  (5.0000, 4.0000, 3.0000, 2.0000, 1.0000)  |      25      |      43           | (-0.2251, -0.2251, -0.2088, -0.8082, 0.2997)  |    -0.9493     |   0.0004              |
|  (5.0000, 4.0000, 3.0000, 2.0000, 1.0000)  |      26      |      44           | (-0.2251, -0.2251, -0.2088, -0.8082, 0.2997)  |    -0.9493     |   0.0002              |

                               Resultados computacionais pelo Método DFP
|               Ponto inicial                |# de iterações| # de cham. Armijo |              Ponto ótimo atual            |   Valor ótimo  |   Erro de aproximação |
|  (9.0000, 9.0000, 9.0000, 9.0000, 9.0000)  |       1      |       8           | (8.9960, 8.9960, 8.9999, 6.4490, 6.4491)  |    28041.4769     |   32991.2816              |
|  (9.0000, 9.0000, 9.0000, 9.0000, 9.0000)  |       2      |      15           | (8.9826, 8.9826, 8.9761, 4.8775, 4.9032)  |    9749.4500     |   12090.8727              |
|  (9.0000, 9.0000, 9.0000, 9.0000, 9.0000)  |       3      |      21           | (8.9382, 8.9382, 8.6476, 3.1412, 3.3452)  |    2878.6721     |   5112.9450              |
|  (9.0000, 9.0000, 9.0000, 9.0000, 9.0000)  |       4      |      26           | (8.7911, 8.7911, 6.2474, 1.7334, 2.7537)  |    863.5347     |   1340.7201              |
